timestamp,value,id
2025-02-05T11:24:26.191455Z,521.0,record-1
2025-02-05T11:39:25.804083Z,488.0,record-2
2025-02-05T11:54:25.782536Z,473.0,record-3
2025-02-05T12:09:25.946777Z,454.0,record-4
2025-02-05T12:24:26.117676Z,444.0,record-5
2025-02-05T12:39:25.980879Z,432.0,record-6
2025-02-05T12:54:25.84235Z,431.0,record-7
2025-02-05T13:09:25.736562Z,434.0,record-8
2025-02-05T13:24:26.086257Z,432.0,record-9
2025-02-05T13:39:25.909426Z,434.0,record-10
2025-02-05T13:54:25.909776Z,429.0,record-11
2025-02-05T14:09:25.790724Z,432.0,record-12
2025-02-05T14:24:25.661695Z,434.0,record-13
2025-02-05T14:39:26.046719Z,429.0,record-14
2025-02-05T14:54:25.963344Z,428.0,record-15
2025-02-05T15:09:26.096743Z,430.0,record-16
2025-02-05T15:24:25.884582Z,429.0,record-17
2025-02-05T15:39:25.965502Z,428.0,record-18
2025-02-05T15:54:26.030728Z,426.0,record-19
2025-02-05T16:09:25.800485Z,427.0,record-20
2025-02-05T16:24:26.058756Z,428.0,record-21
2025-02-05T16:39:25.88794Z,428.0,record-22
2025-02-05T16:54:25.957468Z,428.0,record-23
2025-02-05T17:09:25.814251Z,427.0,record-24
2025-02-05T17:24:25.79771Z,426.0,record-25
2025-02-05T17:39:26.023188Z,426.0,record-26
2025-02-05T17:54:25.92475Z,426.0,record-27
2025-02-05T18:09:25.973424Z,425.0,record-28
2025-02-05T18:24:25.880183Z,424.0,record-29
2025-02-05T18:39:25.701761Z,424.0,record-30
2025-02-05T18:54:25.946881Z,425.0,record-31
2025-02-05T19:09:25.921169Z,424.0,record-32
2025-02-05T19:24:25.966026Z,423.0,record-33
2025-02-05T19:39:26.033167Z,422.0,record-34
2025-02-05T19:54:26.108379Z,423.0,record-35
2025-02-05T20:09:25.820114Z,421.0,record-36
2025-02-05T20:24:25.949749Z,421.0,record-37
2025-02-05T20:39:25.943528Z,421.0,record-38
2025-02-05T20:54:25.884119Z,422.0,record-39
2025-02-05T21:09:26.027214Z,421.0,record-40
2025-02-05T21:24:25.854508Z,421.0,record-41
2025-02-05T21:39:26.022752Z,420.0,record-42
2025-02-05T21:54:25.717008Z,420.0,record-43
2025-02-05T22:09:25.967911Z,420.0,record-44
2025-02-05T22:24:25.993954Z,419.0,record-45
2025-02-05T22:39:25.807628Z,420.0,record-46
2025-02-05T22:54:25.999323Z,419.0,record-47
2025-02-05T23:09:25.993828Z,419.0,record-48
2025-02-05T23:24:25.969277Z,419.0,record-49
2025-02-05T23:39:25.896851Z,420.0,record-50
2025-02-05T23:54:25.935654Z,420.0,record-51
2025-02-06T00:09:25.82293Z,420.0,record-52
2025-02-06T00:24:25.87764Z,422.0,record-53
2025-02-06T00:39:26.089674Z,421.0,record-54
2025-02-06T00:54:26.006742Z,421.0,record-55
2025-02-06T01:09:25.896673Z,418.0,record-56
2025-02-06T01:24:25.674393Z,419.0,record-57
2025-02-06T01:39:25.799373Z,419.0,record-58
2025-02-06T01:54:25.83431Z,419.0,record-59
2025-02-06T02:09:25.877058Z,420.0,record-60
2025-02-06T02:24:25.552171Z,419.0,record-61
2025-02-06T02:39:25.840733Z,420.0,record-62
2025-02-06T02:54:26.01373Z,419.0,record-63
2025-02-06T03:09:26.075747Z,419.0,record-64
2025-02-06T03:24:25.64573Z,421.0,record-65
2025-02-06T03:39:25.936632Z,421.0,record-66
2025-02-06T03:54:26.028019Z,423.0,record-67
2025-02-06T04:09:25.930882Z,426.0,record-68
2025-02-06T04:24:25.928745Z,436.0,record-69
2025-02-06T04:39:25.961904Z,429.0,record-70
2025-02-06T04:54:25.821985Z,430.0,record-71
2025-02-06T05:09:25.95407Z,432.0,record-72
2025-02-06T05:24:25.920205Z,434.0,record-73
2025-02-06T05:39:25.735384Z,430.0,record-74
2025-02-06T05:54:26.277345Z,431.0,record-75
2025-02-06T06:09:26.028522Z,436.0,record-76
2025-02-06T06:24:26.038787Z,441.0,record-77
2025-02-06T06:39:26.285459Z,450.0,record-78
2025-02-06T06:54:26.116116Z,484.0,record-79
2025-02-06T07:09:26.031223Z,457.0,record-80
2025-02-06T07:24:25.935704Z,453.0,record-81
2025-02-06T07:39:25.982015Z,450.0,record-82
2025-02-06T07:54:25.768299Z,453.0,record-83
2025-02-06T08:09:26.011309Z,453.0,record-84
2025-02-06T08:24:25.871744Z,454.0,record-85
2025-02-06T08:39:26.017756Z,452.0,record-86
2025-02-06T08:54:25.955595Z,450.0,record-87
2025-02-06T09:09:26.050613Z,462.0,record-88
2025-02-06T09:24:25.470817Z,556.0,record-89
2025-02-06T09:54:25.775002Z,696.0,record-90
2025-02-06T10:09:25.969546Z,653.0,record-91
2025-02-06T10:24:26.223939Z,717.0,record-92
2025-02-06T10:39:25.896759Z,649.0,record-93
2025-02-06T10:54:26.051458Z,605.0,record-94
2025-02-06T11:09:25.967488Z,541.0,record-95
